iter,fitness,time,XPL,XPT,DIV
242,7.337019239167442e-11,0.005,0.0,100.0,0.0
243,6.53577276728216e-11,0.004,0.0,100.0,0.0
244,4.057540607361475e-11,0.005,0.0,100.0,0.0
245,4.057540607361475e-11,0.005,0.0,100.0,0.0
246,4.057540607361475e-11,0.006,0.0,100.0,0.0
247,2.293115627220205e-11,0.005,0.0,100.0,0.0
248,2.293115627220205e-11,0.006,0.0,100.0,0.0
249,2.293115627220205e-11,0.005,0.0,100.0,0.0
250,1.4167489064167569e-11,0.006,0.0,100.0,0.0
251,1.4167489064167569e-11,0.005,0.0,100.0,0.0
252,1.4114217252492728e-11,0.005,0.0,100.0,0.0
253,9.941920689957538e-12,0.005,0.0,100.0,0.0
254,8.181132400936484e-12,0.005,0.0,100.0,0.0
255,3.4928399010592624e-12,0.005,0.0,100.0,0.0
256,3.4928399010592624e-12,0.005,0.0,100.0,0.0
257,3.0009409247950984e-12,0.005,0.0,100.0,0.0
258,1.7691582537045497e-12,0.007,0.0,100.0,0.0
259,1.7691582537045497e-12,0.004,0.0,100.0,0.0
260,1.7691582537045497e-12,0.004,0.0,100.0,0.0
261,1.7691582537045497e-12,0.006,0.0,100.0,0.0
262,1.7691582537045497e-12,0.005,0.0,100.0,0.0
263,1.7691582537045497e-12,0.005,0.0,100.0,0.0
264,1.7691582537045497e-12,0.005,0.0,100.0,0.0
265,1.5674164934389746e-12,0.006,0.0,100.0,0.0
266,1.060576172961721e-12,0.005,0.0,100.0,0.0
267,1.060576172961721e-12,0.005,0.0,100.0,0.0
268,1.060576172961721e-12,0.004,0.0,100.0,0.0
269,8.700555740110495e-13,0.004,0.0,100.0,0.0
270,6.27133112931234e-13,0.005,0.0,100.0,0.0
271,4.505196890007877e-13,0.005,0.0,100.0,0.0
272,4.505196890007877e-13,0.005,0.0,100.0,0.0
273,2.357814805912288e-13,0.005,0.0,100.0,0.0
274,2.357814805912288e-13,0.005,0.0,100.0,0.0
275,2.357814805912288e-13,0.005,0.0,100.0,0.0
276,2.357814805912288e-13,0.005,0.0,100.0,0.0
277,1.8438390993385153e-13,0.005,0.0,100.0,0.0
278,1.8438390993385153e-13,0.005,0.0,100.0,0.0
279,1.0555001985601774e-13,0.005,0.0,100.0,0.0
280,1.0555001985601774e-13,0.006,0.0,100.0,0.0
281,1.0555001985601774e-13,0.005,0.0,100.0,0.0
282,1.0555001985601774e-13,0.005,0.0,100.0,0.0
283,1.0555001985601774e-13,0.005,0.0,100.0,0.0
284,1.0555001985601774e-13,0.005,0.0,100.0,0.0
285,6.592262247693934e-14,0.005,0.0,100.0,0.0
286,6.592262247693934e-14,0.004,0.0,100.0,0.0
287,6.592262247693934e-14,0.005,0.0,100.0,0.0
288,5.007747205135209e-14,0.005,0.0,100.0,0.0
289,5.007747205135209e-14,0.005,0.0,100.0,0.0
290,2.984258173428671e-14,0.005,0.0,100.0,0.0
291,2.984258173428671e-14,0.005,0.0,100.0,0.0
292,2.7518394015313666e-14,0.005,0.0,100.0,0.0
293,1.789020687982188e-14,0.005,0.0,100.0,0.0
294,1.5742773421232217e-14,0.005,0.0,100.0,0.0
295,1.015615279115603e-14,0.005,0.0,100.0,0.0
296,1.015615279115603e-14,0.005,0.0,100.0,0.0
297,1.015615279115603e-14,0.005,0.0,100.0,0.0
298,1.015615279115603e-14,0.006,0.0,100.0,0.0
299,1.015615279115603e-14,0.006,0.0,100.0,0.0
300,7.194833308524478e-15,0.005,0.0,100.0,0.0
301,6.580979015457165e-15,0.004,0.0,100.0,0.0
302,6.535903573419682e-15,0.005,0.0,100.0,0.0
303,4.801702711213321e-15,0.005,0.0,100.0,0.0
304,4.249278528656369e-15,0.005,0.0,100.0,0.0
305,2.425356952414047e-15,0.006,0.0,100.0,0.0
306,2.149322079109298e-15,0.005,0.0,100.0,0.0
307,1.773032751319134e-15,0.005,0.0,100.0,0.0
308,1.6786986911576716e-15,0.005,0.0,100.0,0.0
309,1.3864420067490444e-15,0.004,0.0,100.0,0.0
310,1.1643337829259879e-15,0.004,0.0,100.0,0.0
311,1.0110767336478844e-15,0.005,0.0,100.0,0.0
312,6.037155698934625e-16,0.005,0.0,100.0,0.0
313,4.66001849323127e-16,0.005,0.0,100.0,0.0
314,3.454978785025162e-16,0.005,0.0,100.0,0.0
315,3.2262594184139366e-16,0.005,0.0,100.0,0.0
316,3.2262594184139366e-16,0.005,0.0,100.0,0.0
317,3.2262594184139366e-16,0.004,0.0,100.0,0.0
318,1.996798110211067e-16,0.005,0.0,100.0,0.0
319,1.7308419078177926e-16,0.006,0.0,100.0,0.0
320,1.7308419078177926e-16,0.005,0.0,100.0,0.0
321,1.4395327410957856e-16,0.005,0.0,100.0,0.0
322,8.735045794344548e-17,0.004,0.0,100.0,0.0
323,8.735045794344548e-17,0.005,0.0,100.0,0.0
324,6.32004623994742e-17,0.005,0.0,100.0,0.0
325,4.036715460734056e-17,0.005,0.0,100.0,0.0
326,3.8001506553900314e-17,0.005,0.0,100.0,0.0
327,1.8627983622792934e-17,0.005,0.0,100.0,0.0
328,1.8627983622792934e-17,0.005,0.0,100.0,0.0
329,1.8627983622792934e-17,0.005,0.0,100.0,0.0
330,1.8245647396255416e-17,0.004,0.0,100.0,0.0
331,1.100828096413146e-17,0.004,0.0,100.0,0.0
332,1.0967933663038605e-17,0.005,0.0,100.0,0.0
333,9.411700484992207e-18,0.005,0.0,100.0,0.0
334,7.965989713387213e-18,0.005,0.0,100.0,0.0
335,7.965989713387213e-18,0.006,0.0,100.0,0.0
336,6.96144235019224e-18,0.006,0.0,100.0,0.0
337,5.237836185207901e-18,0.005,0.0,100.0,0.0
338,5.237836185207901e-18,0.005,0.0,100.0,0.0
339,5.237836185207901e-18,0.005,0.0,100.0,0.0
340,3.468778591434931e-18,0.005,0.0,100.0,0.0
341,2.8102341951130316e-18,0.005,0.0,100.0,0.0
342,1.7903418918554933e-18,0.004,0.0,100.0,0.0
343,1.7903418918554933e-18,0.005,0.0,100.0,0.0
344,1.7903418918554933e-18,0.005,0.0,100.0,0.0
345,1.0238835197095335e-18,0.005,0.0,100.0,0.0
346,1.0090872687615312e-18,0.005,0.0,100.0,0.0
347,1.0090872687615312e-18,0.005,0.0,100.0,0.0
348,4.948609848194987e-19,0.005,0.0,100.0,0.0
349,4.779001667894422e-19,0.005,0.0,100.0,0.0
350,3.6944751908331336e-19,0.005,0.0,100.0,0.0
351,3.6944751908331336e-19,0.005,0.0,100.0,0.0
352,3.2136543134929606e-19,0.005,0.0,100.0,0.0
353,3.2136543134929606e-19,0.005,0.0,100.0,0.0
354,1.7180666408827875e-19,0.005,0.0,100.0,0.0
355,1.7180666408827875e-19,0.005,0.0,100.0,0.0
356,1.6600957360018161e-19,0.005,0.0,100.0,0.0
357,1.502406717301591e-19,0.005,0.0,100.0,0.0
358,1.502406717301591e-19,0.004,0.0,100.0,0.0
359,1.502406717301591e-19,0.005,0.0,100.0,0.0
360,1.502406717301591e-19,0.005,0.0,100.0,0.0
361,1.502406717301591e-19,0.005,0.0,100.0,0.0
362,1.502406717301591e-19,0.005,0.0,100.0,0.0
363,1.502406717301591e-19,0.005,0.0,100.0,0.0
